 Date,Campaign_Source,Video_ID,Category,Subcategory,Presenter,RPV,TotalViews,ViewsOffsite,ViewsOnsite,GrossRevenue,TotalUnitsSold,TotalSecondsViewed,SecondsViewedOffsite,SecondsViewedOnsite,Sale Price
12/31/16,syndication-comcast,3360,Beauty,Skincare,Susan Yara,0.17,1759,0,1759,300,8,141020,0,141020,37.5
12/31/16,syndication-aol-hp-test,3400,Home,Storage & Organization,Marcy McKenna,0.27,1495,1481,14,408,6,96799,96029,770,68
12/31/16,syndication-AOL-CPV,2958,Home,Storage & Organization,Marcy McKenna,0.04,2109,2098,11,80,4,121594,121000,594,20
12/31/16,syndication-AOL-CPV,3399,Beauty,Skincare,Jenny Patinkin,0.31,7272,7213,59,2251,35,409806,406430,3376,64.31
12/31/16,syndication-aol-hp-test,3398,Home,Storage & Organization,Marcy McKenna,0.33,3441,3400,41,1152,9,230641,226624,4017,128
12/30/16,syndication-comcast,3063,Home,Storage & Organization,Marcy McKenna,0.45,1705,0,1705,759,11,141968,0,141968,69
12/30/16,syndication-aol-hp-test,3084,Beauty,Skincare,Jenny Patinkin,0.06,6581,6541,40,398,2,352376,349906,2470,199
12/30/16,syndication-AOL-CPV,3320,Home,Cleaning & Laundry Care,Marcy McKenna,0,14255,14154,101,0,0,662985,657560,5425,
12/30/16,syndication-aol-hp-test,2663,Accessories,Not Set,Marcy McKenna,0.84,2126,2090,36,1782,18,133860,132133,1727,99
12/29/16,syndication-aol-hp-test,3217,Beauty,Tools,Jenny Patinkin,0.22,5240,5211,29,1161,18,203098,201712,1386,64.5
12/29/16,syndication-aol-hp-test,2429,Apparel,Denim,Zoe Ruderman,0.43,4761,4741,20,2058,21,226308,225386,922,98
12/29/16,syndication-comcast,2991,Beauty,Makeup,Naomi Priestley,0.15,1609,0,1609,242,6,113874,0,113874,40.33
12/29/16,syndication-AOL-CPV,2825,Home,Tech Accessories,Marcy McKenna,0.12,12739,12709,30,1510,57,649808,647237,2571,26.49
